File summary (Tue Aug 14 20:59:59 2018)
---------------------------------------

Filename	Class	TestId (can be used as param to AllTests)	Number of Tests	Number of Suites	Number of manual Suites	Parent Class	has JUnit-BEGIN
../src/test/edu/internet2/middleware/grouper/client/AllClientTests.java	AllClientTests	client.AllClientTests	0	1	0	?	1
../src/test/edu/internet2/middleware/grouper/client/GroupSyncDaemonTest.java	GroupSyncDaemonTest	client.GroupSyncDaemonTest	3	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/ddl/AllDdlTests.java	AllDdlTests	ddl.AllDdlTests	0	1	0	?	1
../src/test/edu/internet2/middleware/grouper/ddl/GrouperDdlUtilsTest.java	GrouperDdlUtilsTest	ddl.GrouperDdlUtilsTest	6	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/entity/AllEntityTests.java	AllEntityTests	entity.AllEntityTests	0	1	0	?	1
../src/test/edu/internet2/middleware/grouper/entity/EntityFinderTest.java	EntityFinderTest	entity.EntityFinderTest	5	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/externalSubjects/AllExternalSubjectTests.java	AllExternalSubjectTests	externalSubjects.AllExternalSubjectTests	0	4	0	?	1
../src/test/edu/internet2/middleware/grouper/externalSubjects/ExternalSubjectAttrFrameworkTest.java	ExternalSubjectAttrFrameworkTest	externalSubjects.ExternalSubjectAttrFrameworkTest	2	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/externalSubjects/ExternalSubjectAttributeTest.java	ExternalSubjectAttributeTest	externalSubjects.ExternalSubjectAttributeTest	2	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/externalSubjects/ExternalSubjectSaveTest.java	ExternalSubjectSaveTest	externalSubjects.ExternalSubjectSaveTest	1	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/externalSubjects/ExternalSubjectTest.java	ExternalSubjectTest	externalSubjects.ExternalSubjectTest	12	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/filter/AllFilterTests.java	AllFilterTests	filter.AllFilterTests	0	24	0	?	1
../src/test/edu/internet2/middleware/grouper/filter/TestGQComplementFilter.java	TestGQComplementFilter	filter.TestGQComplementFilter	3	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/filter/TestGQGroupAlternateNameExactFilter.java	TestGQGroupAlternateNameExactFilter	filter.TestGQGroupAlternateNameExactFilter	4	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/filter/TestGQGroupAlternateNameFilter.java	TestGQGroupAlternateNameFilter	filter.TestGQGroupAlternateNameFilter	8	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/filter/TestGQGroupAnyAttribute.java	TestGQGroupAnyAttribute	filter.TestGQGroupAnyAttribute	3	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/filter/TestGQGroupAttribute.java	TestGQGroupAttribute	filter.TestGQGroupAttribute	3	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/filter/TestGQGroupAttributeExact.java	TestGQGroupAttributeExact	filter.TestGQGroupAttributeExact	5	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/filter/TestGQGroupCreatedAfter.java	TestGQGroupCreatedAfter	filter.TestGQGroupCreatedAfter	3	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/filter/TestGQGroupCreatedBefore.java	TestGQGroupCreatedBefore	filter.TestGQGroupCreatedBefore	3	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/filter/TestGQGroupCurrentNameExactFilter.java	TestGQGroupCurrentNameExactFilter	filter.TestGQGroupCurrentNameExactFilter	4	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/filter/TestGQGroupCurrentNameFilter.java	TestGQGroupCurrentNameFilter	filter.TestGQGroupCurrentNameFilter	8	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/filter/TestGQGroupExactName.java	TestGQGroupExactName	filter.TestGQGroupExactName	4	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/filter/TestGQGroupName.java	TestGQGroupName	filter.TestGQGroupName	13	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/filter/TestGQIntersectionFilter.java	TestGQIntersectionFilter	filter.TestGQIntersectionFilter	3	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/filter/TestGQNull.java	TestGQNull	filter.TestGQNull	3	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/filter/TestGQStemCreatedAfter.java	TestGQStemCreatedAfter	filter.TestGQStemCreatedAfter	3	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/filter/TestGQStemCreatedBefore.java	TestGQStemCreatedBefore	filter.TestGQStemCreatedBefore	3	0	0	GrouperTest	0
